english word,turkish meaning,word level
time,zaman,A1
person,kişi,A1
year,yıl,A1
way,yol,A1
day,gün,A1
thing,şey,A1
man,adam,A1
world,dünya,A1
life,hayat,A1
hand,el,A1
part,parça,A1
child,çocuk,A1
eye,göz,A1
woman,kadın,A1
place,yer,A1
week,hafta,A1
case,durum,A1
point,nokta,A1
government,hükümet,A2
company,şirket,A2
number,sayı,A1
group,grup,A1
problem,sorun,A1
fact,gerçek,A2
be,olmak,A1
have,sahip olmak,A1
do,yapmak,A1
say,söylemek,A1
get,almak,A1
make,yapmak,A1
go,gitmek,A1
know,bilmek,A1
take,almak,A1
see,görmek,A1
come,gelmek,A1
think,düşünmek,A1
look,bakmak,A1
want,istemek,A1
give,vermek,A1
use,kullanmak,A1
find,bulmak,A1
tell,söylemek,A1
ask,sormak,A1
work,çalışmak,A1
seem,görünmek,A2
feel,hissetmek,A1
try,denemek,A1
leave,ayrılmak,A1
call,aramak,A1
good,iyi,A1
new,yeni,A1
first,ilk,A1
last,son,A1
long,uzun,A1
great,harika,A1
little,küçük,A1
own,kendi,A1
other,diğer,A1
old,eski,A1
right,doğru,A1
big,büyük,A1
high,yüksek,A1
different,farklı,A1
small,küçük,A1
large,geniş,A1
next,sonraki,A1
early,erken,A1
young,genç,A1
important,önemli,A1
few,az,A1
public,kamu,A2
bad,kötü,A1
same,aynı,A1
able,yetenekli,A2
better,daha iyi,A1
best,en iyi,A1
certain,kesin,A2
clear,açık,A1
complete,tam,A1
dark,karanlık,A1
difficult,zor,A1
easy,kolay,A1
economic,ekonomik,B1
free,özgür,A1
full,dolu,A1
general,genel,A2
happy,mutlu,A1
human,insan,A1
late,geç,A1
likely,muhtemel,A2
normal,normal,A1
open,açık,A1
possible,mümkün,A1
real,gerçek,A1
special,özel,A1
strong,güçlü,A1
sure,emin,A1
true,doğru,A1
white,beyaz,A1
whole,bütün,A1
wrong,yanlış,A1
above,yukarı,A1
across,karşısında,A1
after,sonra,A1
against,karşı,A1
alone,yalnız,A1
along,boyunca,A1
already,zaten,A1
also,ayrıca,A1
always,her zaman,A1
among,arasında,A1
amount,miktar,A1
angle,açı,A1
animal,hayvan,A1
answer,cevap,A1
any,herhangi,A1
appear,görünmek,A1
apple,elma,A1
arm,kol,A1
army,ordu,A1
art,sanat,A1
ask,sormak,A1
at,de/da,A1
atom,atom,B1
baby,bebek,A1
back,geri,A1
bad,kötü,A1
ball,top,A1
bank,banka,A1
bar,çubuk,A1
base,taban,A1
basic,temel,A1
basket,sepet,A1
bat,yarasa,A1
beach,sahil,A1
bear,ayı,A1
beat,yenmek,A1
beauty,güzellik,A1
bed,yatak,A1
been,olunmuş,A1
before,önce,A1
begun,başlanmış,A1
behind,arkasında,A1
believe,inanmak,A1
bell,zil,A1
belong,ait olmak,A1
below,aşağıda,A1
bent,bükülmüş,A1
beside,yanında,A1
best,en iyi,A1
better,daha iyi,A1
between,arasında,A1
big,büyük,A1
bird,kuş,A1
bit,parça,A1
bite,ısırmak,A1
black,siyah,A1
blood,kan,A1
blow,üflemek,A1
blue,mavi,A1
board,tahta,A1
boat,tekne,A1
body,vücut,A1
bone,kemik,A1
book,kitap,A1
born,doğmuş,A1
both,ikisi,A1
bottom,dip,A1
box,kutu,A1
boy,erkek çocuk,A1
branch,dal,A1
brave,cesur,A1
